instance_idx,instance,epsilon,runtime
2352,[0.48883791 0.12226407 0.34877482],0.095,67.74470162391663
2353,[0.87051275 0.41756381 0.57328898],0.241,67.8397285938263
2354,[0.5658167  0.90036175 0.78167578],0.331,59.518152713775635
2355,[0.47527031 0.72007591 0.60595473],0.195,69.7786660194397
2356,[0.76202552 0.50476801 0.46111408],0.229,67.2412166595459
2357,[0.44996938 0.44906899 0.86671138],0.049,67.52497911453247
2358,[0.32524256 0.79986822 0.66477459],0.161,68.51890182495117
2359,[0.40966388 0.23277809 0.39554467],0.079,66.67633652687073
2360,[0.54104445 0.95816423 0.89041998],0.34700000000000003,69.55477738380432
2361,[0.73598422 0.64594577 0.86631922],0.28900000000000003,67.78203821182251
2362,[0.7072769  0.5720109  0.79649208],0.23700000000000002,58.84806156158447
2363,[0.70746714 0.56105851 0.12380326],0.229,67.1209921836853
2364,[0.55940484 0.19237536 0.6189551 ],0.023,66.48409962654114
2365,[0.57690952 0.05279821 0.57047297],0.085,67.70172119140625
2366,[0.18940721 0.4758347  0.89724426],0.065,65.43471646308899
2367,[0.12028692 0.93626265 0.17979099],0.127,67.24430322647095
2368,[0.01896619 0.78681133 0.24536466],0,59.41906499862671
2369,[0.7056858  0.88772805 0.44439965],0.391,70.53153371810913
2370,[0.80700026 0.60687712 0.40194837],0.301,57.345396518707275
2371,[0.04497911 0.86204199 0.0232383 ],0.051000000000000004,56.00756072998047
2372,[0.43705598 0.41492461 0.86001114],0.027000000000000003,63.922778606414795
2373,[0.31740785 0.25713793 0.11466203],0.115,65.71671962738037
2374,[0.09933507 0.16810031 0.14406529],0.267,68.4254949092865
2375,[0.25557314 0.08955892 0.30690069],0.227,65.57904481887817
2376,[0.40731173 0.16913555 0.61472452],0.111,66.68368411064148
2377,[0.32531698 0.02709044 0.05849317],0.225,56.69840407371521
2378,[0.3899731  0.32001278 0.41297843],0.045,65.69857406616211
2379,[0.32424395 0.37549433 0.82808934],0.047,67.01278185844421
2380,[0.12097008 0.20250989 0.75244663],0.23500000000000001,68.6838972568512
2381,[0.58608402 0.4929815  0.75270299],0.137,57.592087745666504
2382,[0.38508153 0.11501625 0.06062435],0.153,65.48573565483093
2383,[0.46486516 0.40706325 0.4843602 ],0.033,65.09654784202576
2384,[0.40752911 0.23369643 0.88653091],0.077,64.83009028434753
2385,[0.26917985 0.96356038 0.67537461],0.213,57.11393332481384
2386,[0.2463337  0.55472048 0.78554241],0.001,61.01845097541809
2387,[0.30463685 0.40673265 0.08391152],0.047,66.44580507278442
2388,[0.63585941 0.2034075  0.96832442],0.021,65.3073935508728
2389,[0.37333678 0.98539829 0.78235041],0.277,67.50938558578491
2390,[0.53758525 0.42374221 0.91187949],0.081,58.500473499298096
2391,[0.45178218 0.00091566 0.4648317 ],0.17300000000000001,68.46900868415833
2392,[0.82945348 0.28921529 0.97249664],0.159,67.3059024810791
2393,[5.33510955e-04 9.33587184e-01 4.82374030e-01],0.127,66.51192951202393
2394,[0.597924   0.83955138 0.38029399],0.313,58.33688712120056
2395,[0.35144707 0.63223375 0.58539467],0.089,66.27321529388428
